"solute","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.8842e+19,1,0.003644,0.003644,0.1145,0
1.8808e+19,1,0.003648,0.003648,0.1145,0
1.8773e+19,1,0.003652,0.003652,0.1145,0
1.8738e+19,1,0.003656,0.003656,0.1145,0
1.8703e+19,1,0.00366,0.00366,0.1145,0
1.8669e+19,1,0.003664,0.003664,0.1145,0
1.8634e+19,1,0.003668,0.003668,0.1145,0
1.8599e+19,1,0.003672,0.003672,0.1145,0
1.8565e+19,1,0.003676,0.003676,0.1145,0
1.853e+19,1,0.00368,0.00368,0.1145,0
1.8495e+19,1,0.003684,0.003684,0.1145,0
1.8461e+19,1,0.003688,0.003688,0.1145,0
1.8426e+19,1,0.003692,0.003692,0.1145,0
1.8391e+19,1,0.003696,0.003696,0.1145,0
1.8357e+19,1,0.0037,0.0037,0.1145,0
1.8322e+19,1,0.003704,0.003704,0.1145,0
1.8287e+19,1,0.003708,0.003708,0.1145,0
1.8253e+19,1,0.003712,0.003712,0.1145,0
1.8218e+19,1,0.003716,0.003716,0.1145,0
1.8183e+19,1,0.00372,0.00372,0.1145,0
1.8149e+19,1,0.003724,0.003724,0.1145,0
1.8114e+19,1,0.003728,0.003728,0.1145,0
1.8079e+19,1,0.003732,0.003732,0.1145,0
1.8045e+19,1,0.003736,0.003736,0.1145,0
1.801e+19,1,0.00374,0.00374,0.1145,0
1.7975e+19,1,0.003744,0.003744,0.1145,0
1.7941e+19,1,0.003748,0.003748,0.1145,0
1.7906e+19,1,0.003752,0.003752,0.1145,0
1.7871e+19,1,0.003756,0.003756,0.1145,0
1.7837e+19,1,0.00376,0.00376,0.1145,0
1.7802e+19,1,0.003764,0.003764,0.1145,0
1.7767e+19,1,0.003768,0.003768,0.1145,0
1.7733e+19,1,0.003772,0.003772,0.1145,0
1.7699e+19,1,0.003776,0.003776,0.1145,0
1.7664e+19,1,0.00378,0.00378,0.1145,0
1.763e+19,1,0.003784,0.003784,0.1145,0
1.7596e+19,1,0.003788,0.003788,0.1145,0
1.7562e+19,1,0.003792,0.003792,0.1145,0
1.7527e+19,1,0.003796,0.003796,0.1145,0
1.7493e+19,1,0.0038,0.0038,0.1145,0
1.7459e+19,1,0.003804,0.003804,0.1145,0
1.7425e+19,1,0.003808,0.003808,0.1145,0
1.7391e+19,1,0.003812,0.003812,0.1145,0
1.7356e+19,1,0.003816,0.003816,0.1145,0
1.7322e+19,1,0.00382,0.00382,0.1145,0
1.7288e+19,1,0.003824,0.003824,0.1145,0
1.7254e+19,1,0.003828,0.003828,0.1145,0
1.7219e+19,1,0.003832,0.003832,0.1145,0
1.7185e+19,1,0.003836,0.003836,0.1145,0
1.7151e+19,1,0.00384,0.00384,0.1145,0
1.7117e+19,1,0.003844,0.003844,0.1145,0
1.7083e+19,1,0.003848,0.003848,0.1145,0
1.7048e+19,1,0.003852,0.003852,0.1145,0
1.7014e+19,1,0.003856,0.003856,0.1145,0
1.698e+19,1,0.00386,0.00386,0.1145,0
1.6946e+19,1,0.003864,0.003864,0.1145,0
1.6911e+19,1,0.003868,0.003868,0.1145,0
1.6877e+19,1,0.003872,0.003872,0.1145,0
1.6843e+19,1,0.003876,0.003876,0.1145,0
1.6809e+19,1,0.00388,0.00388,0.1145,0
1.6775e+19,1,0.003884,0.003884,0.1145,0
1.674e+19,1,0.003888,0.003888,0.1145,0
1.6706e+19,1,0.003892,0.003892,0.1145,0
1.6671e+19,1,0.003896,0.003896,0.1145,0
1.6637e+19,1,0.0039,0.0039,0.1145,0
1.6602e+19,1,0.003904,0.003904,0.1145,0
1.6568e+19,1,0.003908,0.003908,0.1145,0
1.6533e+19,1,0.003912,0.003912,0.1145,0
1.6499e+19,1,0.003916,0.003916,0.1145,0
1.6465e+19,1,0.00392,0.00392,0.1145,0
1.643e+19,1,0.003924,0.003924,0.1145,0
1.6396e+19,1,0.003928,0.003928,0.1145,0
1.6361e+19,1,0.003932,0.003932,0.1145,0
1.6327e+19,1,0.003936,0.003936,0.1145,0
1.6293e+19,1,0.00394,0.00394,0.1145,0
1.6258e+19,1,0.003944,0.003944,0.1145,0
1.6224e+19,1,0.003948,0.003948,0.1145,0
1.6189e+19,1,0.003952,0.003952,0.1145,0
1.6155e+19,1,0.003956,0.003956,0.1145,0
1.612e+19,1,0.00396,0.00396,0.1145,0
1.6086e+19,1,0.003964,0.003964,0.1145,0
1.6052e+19,1,0.003968,0.003968,0.1145,0
1.6017e+19,1,0.003972,0.003972,0.1145,0
1.5983e+19,1,0.003976,0.003976,0.1145,0
1.5948e+19,1,0.00398,0.00398,0.1145,0
1.5914e+19,1,0.003984,0.003984,0.1145,0
1.588e+19,1,0.003988,0.003988,0.1145,0
1.5845e+19,1,0.003992,0.003992,0.1145,0
1.5811e+19,1,0.003996,0.003996,0.1145,0
1.5776e+19,1,0.004,0.004,0.1145,0
