"solute","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.2374e+22,1,0.0011055,0.032106,0.1145,0
1.2371e+22,1,0.001111,0.032111,0.1145,0
1.2367e+22,1,0.0011165,0.032116,0.1145,0
1.2364e+22,1,0.001122,0.032122,0.1145,0
1.236e+22,1,0.0011275,0.032127,0.1145,0
1.2357e+22,1,0.001133,0.032133,0.1145,0
1.2353e+22,1,0.0011385,0.032139,0.1145,0
1.235e+22,1,0.001144,0.032144,0.1145,0
1.2346e+22,1,0.0011495,0.03215,0.1145,0
1.2343e+22,1,0.001155,0.032155,0.1145,0
1.2339e+22,1,0.0011605,0.03216,0.1145,0
1.2336e+22,1,0.001166,0.032166,0.1145,0
1.2332e+22,1,0.0011715,0.032171,0.1145,0
1.2329e+22,1,0.001177,0.032177,0.1145,0
1.2325e+22,1,0.0011825,0.032182,0.1145,0
1.2321e+22,1,0.001188,0.032188,0.1145,0
1.2318e+22,1,0.0011935,0.032194,0.1145,0
1.2313e+22,1,0.001199,0.032199,0.1145,0
1.2309e+22,1,0.0012045,0.032205,0.1145,0
1.2305e+22,1,0.00121,0.03221,0.1145,0
1.23e+22,1,0.0012155,0.032215,0.1145,0
1.2296e+22,1,0.001221,0.032221,0.1145,0
1.2291e+22,1,0.0012265,0.032226,0.1145,0
1.2287e+22,1,0.001232,0.032232,0.1145,0
1.2283e+22,1,0.0012375,0.032237,0.1145,0
1.2278e+22,1,0.001243,0.032243,0.1145,0
1.2274e+22,1,0.0012485,0.032249,0.1145,0
1.2269e+22,1,0.001254,0.032254,0.1145,0
1.2265e+22,1,0.0012595,0.03226,0.1145,0
1.2261e+22,1,0.001265,0.032265,0.1145,0
1.2256e+22,1,0.0012705,0.03227,0.1145,0
1.2252e+22,1,0.001276,0.032276,0.1145,0
1.2247e+22,1,0.0012815,0.032281,0.1145,0
1.2243e+22,1,0.001287,0.032287,0.1145,0
1.2238e+22,1,0.0012925,0.032293,0.1145,0
1.2234e+22,1,0.001298,0.032298,0.1145,0
1.223e+22,1,0.0013035,0.032304,0.1145,0
1.2225e+22,1,0.001309,0.032309,0.1145,0
1.2221e+22,1,0.0013145,0.032315,0.1145,0
1.2217e+22,1,0.00132,0.03232,0.1145,0
1.2212e+22,1,0.0013255,0.032325,0.1145,0
1.2208e+22,1,0.001331,0.032331,0.1145,0
1.2204e+22,1,0.0013365,0.032336,0.1145,0
1.2199e+22,1,0.001342,0.032342,0.1145,0
1.2195e+22,1,0.0013475,0.032348,0.1145,0
