"retention","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.8574e+20,1,0.001964,0.001964,0.066032,0
1.7003e+20,1,0.001968,0.001968,0.066032,0
1.5432e+20,1,0.001972,0.001972,0.066032,0
1.3861e+20,1,0.001976,0.001976,0.066032,0
1.229e+20,1,0.00198,0.00198,0.066032,0
1.0718e+20,1,0.001984,0.001984,0.066032,0
9.1473e+19,1,0.001988,0.001988,0.066032,0
7.5762e+19,1,0.001992,0.001992,0.066032,0
6.0051e+19,1,0.001996,0.001996,0.066032,0
4.434e+19,1,0.002,0.002,0.066032,0
1.7926e+22,1,0.002004,0.002004,0.066032,0
1.7926e+22,1,0.002008,0.002008,0.066032,0
1.7927e+22,1,0.002012,0.002012,0.066032,0
1.7927e+22,1,0.002016,0.002016,0.066032,0
1.7928e+22,1,0.00202,0.00202,0.066032,0
1.7928e+22,1,0.002024,0.002024,0.066032,0
1.7929e+22,1,0.002028,0.002028,0.066032,0
1.7929e+22,1,0.002032,0.002032,0.066032,0
1.793e+22,1,0.002036,0.002036,0.066032,0
1.793e+22,1,0.00204,0.00204,0.066032,0
1.7931e+22,1,0.002044,0.002044,0.066032,0
1.7931e+22,1,0.002048,0.002048,0.066032,0
1.7932e+22,1,0.002052,0.002052,0.066032,0
1.7932e+22,1,0.002056,0.002056,0.066032,0
1.7933e+22,1,0.00206,0.00206,0.066032,0
1.7934e+22,1,0.002064,0.002064,0.066032,0
1.7934e+22,1,0.002068,0.002068,0.066032,0
1.7935e+22,1,0.002072,0.002072,0.066032,0
1.7935e+22,1,0.002076,0.002076,0.066032,0
1.7935e+22,1,0.00208,0.00208,0.066032,0
1.7936e+22,1,0.002084,0.002084,0.066032,0
1.7936e+22,1,0.002088,0.002088,0.066032,0
1.7937e+22,1,0.002092,0.002092,0.066032,0
1.7937e+22,1,0.002096,0.002096,0.066032,0
1.7938e+22,1,0.0021,0.0021,0.066032,0
1.7938e+22,1,0.002104,0.002104,0.066032,0
1.7939e+22,1,0.002108,0.002108,0.066032,0
1.7939e+22,1,0.002112,0.002112,0.066032,0
1.794e+22,1,0.002116,0.002116,0.066032,0
1.794e+22,1,0.00212,0.00212,0.066032,0
1.7941e+22,1,0.002124,0.002124,0.066032,0
1.7941e+22,1,0.002128,0.002128,0.066032,0
1.7942e+22,1,0.002132,0.002132,0.066032,0
1.7942e+22,1,0.002136,0.002136,0.066032,0
1.7943e+22,1,0.00214,0.00214,0.066032,0
1.7944e+22,1,0.002144,0.002144,0.066032,0
1.7944e+22,1,0.002148,0.002148,0.066032,0
1.7945e+22,1,0.002152,0.002152,0.066032,0
1.7946e+22,1,0.002156,0.002156,0.066032,0
1.7946e+22,1,0.00216,0.00216,0.066032,0
1.7947e+22,1,0.002164,0.002164,0.066032,0
1.7948e+22,1,0.002168,0.002168,0.066032,0
1.7948e+22,1,0.002172,0.002172,0.066032,0
1.7949e+22,1,0.002176,0.002176,0.066032,0
1.7949e+22,1,0.00218,0.00218,0.066032,0
1.795e+22,1,0.002184,0.002184,0.066032,0
1.7951e+22,1,0.002188,0.002188,0.066032,0
1.7951e+22,1,0.002192,0.002192,0.066032,0
1.7952e+22,1,0.002196,0.002196,0.066032,0
1.7953e+22,1,0.0022,0.0022,0.066032,0
1.7953e+22,1,0.002204,0.002204,0.066032,0
1.7954e+22,1,0.002208,0.002208,0.066032,0
1.7954e+22,1,0.002212,0.002212,0.066032,0
1.7955e+22,1,0.002216,0.002216,0.066032,0
1.7956e+22,1,0.00222,0.00222,0.066032,0
1.7956e+22,1,0.002224,0.002224,0.066032,0
1.7957e+22,1,0.002228,0.002228,0.066032,0
1.7957e+22,1,0.002232,0.002232,0.066032,0
1.7958e+22,1,0.002236,0.002236,0.066032,0
1.7958e+22,1,0.00224,0.00224,0.066032,0
1.7959e+22,1,0.002244,0.002244,0.066032,0
1.796e+22,1,0.002248,0.002248,0.066032,0
1.796e+22,1,0.002252,0.002252,0.066032,0
1.7961e+22,1,0.002256,0.002256,0.066032,0
1.7962e+22,1,0.00226,0.00226,0.066032,0
1.7962e+22,1,0.002264,0.002264,0.066032,0
1.7963e+22,1,0.002268,0.002268,0.066032,0
1.7964e+22,1,0.002272,0.002272,0.066032,0
1.7965e+22,1,0.002276,0.002276,0.066032,0
1.7965e+22,1,0.00228,0.00228,0.066032,0
1.7966e+22,1,0.002284,0.002284,0.066032,0
1.7967e+22,1,0.002288,0.002288,0.066032,0
1.7968e+22,1,0.002292,0.002292,0.066032,0
1.7968e+22,1,0.002296,0.002296,0.066032,0
1.7969e+22,1,0.0023,0.0023,0.066032,0
1.797e+22,1,0.002304,0.002304,0.066032,0
1.7971e+22,1,0.002308,0.002308,0.066032,0
1.7971e+22,1,0.002312,0.002312,0.066032,0
1.7972e+22,1,0.002316,0.002316,0.066032,0
1.7973e+22,1,0.00232,0.00232,0.066032,0
1.7973e+22,1,0.002324,0.002324,0.066032,0
1.7974e+22,1,0.002328,0.002328,0.066032,0
1.7975e+22,1,0.002332,0.002332,0.066032,0
1.7976e+22,1,0.002336,0.002336,0.066032,0
1.7976e+22,1,0.00234,0.00234,0.066032,0
1.7977e+22,1,0.002344,0.002344,0.066032,0
1.7978e+22,1,0.002348,0.002348,0.066032,0
1.7978e+22,1,0.002352,0.002352,0.066032,0
1.7979e+22,1,0.002356,0.002356,0.066032,0
1.798e+22,1,0.00236,0.00236,0.066032,0
1.7981e+22,1,0.002364,0.002364,0.066032,0
1.7981e+22,1,0.002368,0.002368,0.066032,0
1.7982e+22,1,0.002372,0.002372,0.066032,0
1.7983e+22,1,0.002376,0.002376,0.066032,0
1.7983e+22,1,0.00238,0.00238,0.066032,0
1.7984e+22,1,0.002384,0.002384,0.066032,0
1.7985e+22,1,0.002388,0.002388,0.066032,0
1.7986e+22,1,0.002392,0.002392,0.066032,0
1.7987e+22,1,0.002396,0.002396,0.066032,0
1.7987e+22,1,0.0024,0.0024,0.066032,0
1.7988e+22,1,0.002404,0.002404,0.066032,0
1.7989e+22,1,0.002408,0.002408,0.066032,0
1.799e+22,1,0.002412,0.002412,0.066032,0
1.7991e+22,1,0.002416,0.002416,0.066032,0
1.7992e+22,1,0.00242,0.00242,0.066032,0
1.7993e+22,1,0.002424,0.002424,0.066032,0
1.7994e+22,1,0.002428,0.002428,0.066032,0
1.7994e+22,1,0.002432,0.002432,0.066032,0
1.7995e+22,1,0.002436,0.002436,0.066032,0
1.7996e+22,1,0.00244,0.00244,0.066032,0
1.7997e+22,1,0.002444,0.002444,0.066032,0
1.7998e+22,1,0.002448,0.002448,0.066032,0
1.7999e+22,1,0.002452,0.002452,0.066032,0
1.8e+22,1,0.002456,0.002456,0.066032,0
1.8e+22,1,0.00246,0.00246,0.066032,0
1.8001e+22,1,0.002464,0.002464,0.066032,0
1.8002e+22,1,0.002468,0.002468,0.066032,0
1.8003e+22,1,0.002472,0.002472,0.066032,0
1.8004e+22,1,0.002476,0.002476,0.066032,0
1.8004e+22,1,0.00248,0.00248,0.066032,0
1.8005e+22,1,0.002484,0.002484,0.066032,0
1.8006e+22,1,0.002488,0.002488,0.066032,0
1.8007e+22,1,0.002492,0.002492,0.066032,0
1.8008e+22,1,0.002496,0.002496,0.066032,0
1.8009e+22,1,0.0025,0.0025,0.066032,0
1.8009e+22,1,0.002504,0.002504,0.066032,0
1.801e+22,1,0.002508,0.002508,0.066032,0
1.8011e+22,1,0.002512,0.002512,0.066032,0
1.8012e+22,1,0.002516,0.002516,0.066032,0
1.8013e+22,1,0.00252,0.00252,0.066032,0
1.8014e+22,1,0.002524,0.002524,0.066032,0
1.8015e+22,1,0.002528,0.002528,0.066032,0
1.8016e+22,1,0.002532,0.002532,0.066032,0
1.8017e+22,1,0.002536,0.002536,0.066032,0
1.8018e+22,1,0.00254,0.00254,0.066032,0
1.8019e+22,1,0.002544,0.002544,0.066032,0
1.802e+22,1,0.002548,0.002548,0.066032,0
1.8021e+22,1,0.002552,0.002552,0.066032,0
1.8022e+22,1,0.002556,0.002556,0.066032,0
1.8023e+22,1,0.00256,0.00256,0.066032,0
1.8024e+22,1,0.002564,0.002564,0.066032,0
1.8025e+22,1,0.002568,0.002568,0.066032,0
1.8026e+22,1,0.002572,0.002572,0.066032,0
1.8027e+22,1,0.002576,0.002576,0.066032,0
1.8028e+22,1,0.00258,0.00258,0.066032,0
1.8029e+22,1,0.002584,0.002584,0.066032,0
1.8029e+22,1,0.002588,0.002588,0.066032,0
1.803e+22,1,0.002592,0.002592,0.066032,0
1.8031e+22,1,0.002596,0.002596,0.066032,0
1.8032e+22,1,0.0026,0.0026,0.066032,0
1.8033e+22,1,0.002604,0.002604,0.066032,0
1.8034e+22,1,0.002608,0.002608,0.066032,0
1.8035e+22,1,0.002612,0.002612,0.066032,0
1.8036e+22,1,0.002616,0.002616,0.066032,0
1.8037e+22,1,0.00262,0.00262,0.066032,0
1.8038e+22,1,0.002624,0.002624,0.066032,0
1.8039e+22,1,0.002628,0.002628,0.066032,0
1.804e+22,1,0.002632,0.002632,0.066032,0
1.8041e+22,1,0.002636,0.002636,0.066032,0
1.8042e+22,1,0.00264,0.00264,0.066032,0
1.8043e+22,1,0.002644,0.002644,0.066032,0
1.8044e+22,1,0.002648,0.002648,0.066032,0
1.8045e+22,1,0.002652,0.002652,0.066032,0
1.8045e+22,1,0.002656,0.002656,0.066032,0
1.8047e+22,1,0.00266,0.00266,0.066032,0
1.8048e+22,1,0.002664,0.002664,0.066032,0
1.8049e+22,1,0.002668,0.002668,0.066032,0
1.805e+22,1,0.002672,0.002672,0.066032,0
1.8051e+22,1,0.002676,0.002676,0.066032,0
1.8052e+22,1,0.00268,0.00268,0.066032,0
1.8053e+22,1,0.002684,0.002684,0.066032,0
1.8054e+22,1,0.002688,0.002688,0.066032,0
1.8055e+22,1,0.002692,0.002692,0.066032,0
1.8057e+22,1,0.002696,0.002696,0.066032,0
1.8058e+22,1,0.0027,0.0027,0.066032,0
