"retention","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.2495e+14,1,0.002588,0.002588,0.1145,0
4.2519e+14,1,0.002592,0.002592,0.1145,0
4.2544e+14,1,0.002596,0.002596,0.1145,0
4.257e+14,1,0.0026,0.0026,0.1145,0
4.2595e+14,1,0.002604,0.002604,0.1145,0
4.262e+14,1,0.002608,0.002608,0.1145,0
4.2645e+14,1,0.002612,0.002612,0.1145,0
4.2671e+14,1,0.002616,0.002616,0.1145,0
4.2696e+14,1,0.00262,0.00262,0.1145,0
4.2721e+14,1,0.002624,0.002624,0.1145,0
4.2746e+14,1,0.002628,0.002628,0.1145,0
4.2771e+14,1,0.002632,0.002632,0.1145,0
4.2797e+14,1,0.002636,0.002636,0.1145,0
4.2822e+14,1,0.00264,0.00264,0.1145,0
4.2847e+14,1,0.002644,0.002644,0.1145,0
4.2872e+14,1,0.002648,0.002648,0.1145,0
4.2898e+14,1,0.002652,0.002652,0.1145,0
4.2923e+14,1,0.002656,0.002656,0.1145,0
4.2948e+14,1,0.00266,0.00266,0.1145,0
4.298e+14,1,0.002664,0.002664,0.1145,0
4.3006e+14,1,0.002668,0.002668,0.1145,0
4.3031e+14,1,0.002672,0.002672,0.1145,0
4.3056e+14,1,0.002676,0.002676,0.1145,0
4.3081e+14,1,0.00268,0.00268,0.1145,0
4.3106e+14,1,0.002684,0.002684,0.1145,0
4.3132e+14,1,0.002688,0.002688,0.1145,0
4.3157e+14,1,0.002692,0.002692,0.1145,0
4.3182e+14,1,0.002696,0.002696,0.1145,0
4.3207e+14,1,0.0027,0.0027,0.1145,0
4.3232e+14,1,0.002704,0.002704,0.1145,0
4.3258e+14,1,0.002708,0.002708,0.1145,0
4.3283e+14,1,0.002712,0.002712,0.1145,0
4.3308e+14,1,0.002716,0.002716,0.1145,0
4.3333e+14,1,0.00272,0.00272,0.1145,0
4.3359e+14,1,0.002724,0.002724,0.1145,0
4.3384e+14,1,0.002728,0.002728,0.1145,0
4.3411e+14,1,0.002732,0.002732,0.1145,0
4.3438e+14,1,0.002736,0.002736,0.1145,0
4.3465e+14,1,0.00274,0.00274,0.1145,0
4.3492e+14,1,0.002744,0.002744,0.1145,0
4.3519e+14,1,0.002748,0.002748,0.1145,0
4.3546e+14,1,0.002752,0.002752,0.1145,0
4.3573e+14,1,0.002756,0.002756,0.1145,0
4.36e+14,1,0.00276,0.00276,0.1145,0
4.3627e+14,1,0.002764,0.002764,0.1145,0
4.3654e+14,1,0.002768,0.002768,0.1145,0
4.3681e+14,1,0.002772,0.002772,0.1145,0
4.3708e+14,1,0.002776,0.002776,0.1145,0
4.3735e+14,1,0.00278,0.00278,0.1145,0
4.3761e+14,1,0.002784,0.002784,0.1145,0
4.3788e+14,1,0.002788,0.002788,0.1145,0
4.3808e+14,1,0.002792,0.002792,0.1145,0
4.3834e+14,1,0.002796,0.002796,0.1145,0
4.386e+14,1,0.0028,0.0028,0.1145,0
4.3886e+14,1,0.002804,0.002804,0.1145,0
4.3912e+14,1,0.002808,0.002808,0.1145,0
4.3938e+14,1,0.002812,0.002812,0.1145,0
4.3964e+14,1,0.002816,0.002816,0.1145,0
4.399e+14,1,0.00282,0.00282,0.1145,0
4.4016e+14,1,0.002824,0.002824,0.1145,0
4.4042e+14,1,0.002828,0.002828,0.1145,0
4.4069e+14,1,0.002832,0.002832,0.1145,0
4.4095e+14,1,0.002836,0.002836,0.1145,0
4.4121e+14,1,0.00284,0.00284,0.1145,0
4.4147e+14,1,0.002844,0.002844,0.1145,0
4.4173e+14,1,0.002848,0.002848,0.1145,0
4.4199e+14,1,0.002852,0.002852,0.1145,0
4.4225e+14,1,0.002856,0.002856,0.1145,0
4.4257e+14,1,0.00286,0.00286,0.1145,0
4.429e+14,1,0.002864,0.002864,0.1145,0
4.4323e+14,1,0.002868,0.002868,0.1145,0
4.4356e+14,1,0.002872,0.002872,0.1145,0
4.439e+14,1,0.002876,0.002876,0.1145,0
4.4423e+14,1,0.00288,0.00288,0.1145,0
4.4456e+14,1,0.002884,0.002884,0.1145,0
4.4489e+14,1,0.002888,0.002888,0.1145,0
4.4522e+14,1,0.002892,0.002892,0.1145,0
4.4555e+14,1,0.002896,0.002896,0.1145,0
4.4588e+14,1,0.0029,0.0029,0.1145,0
4.4621e+14,1,0.002904,0.002904,0.1145,0
4.4654e+14,1,0.002908,0.002908,0.1145,0
4.4688e+14,1,0.002912,0.002912,0.1145,0
4.4721e+14,1,0.002916,0.002916,0.1145,0
4.4754e+14,1,0.00292,0.00292,0.1145,0
4.4795e+14,1,0.002924,0.002924,0.1145,0
4.4827e+14,1,0.002928,0.002928,0.1145,0
4.486e+14,1,0.002932,0.002932,0.1145,0
4.4892e+14,1,0.002936,0.002936,0.1145,0
4.4925e+14,1,0.00294,0.00294,0.1145,0
4.4957e+14,1,0.002944,0.002944,0.1145,0
4.499e+14,1,0.002948,0.002948,0.1145,0
4.5022e+14,1,0.002952,0.002952,0.1145,0
4.5055e+14,1,0.002956,0.002956,0.1145,0
4.5087e+14,1,0.00296,0.00296,0.1145,0
4.512e+14,1,0.002964,0.002964,0.1145,0
4.5152e+14,1,0.002968,0.002968,0.1145,0
4.5184e+14,1,0.002972,0.002972,0.1145,0
4.5217e+14,1,0.002976,0.002976,0.1145,0
4.5249e+14,1,0.00298,0.00298,0.1145,0
4.5282e+14,1,0.002984,0.002984,0.1145,0
4.5314e+14,1,0.002988,0.002988,0.1145,0
4.5348e+14,1,0.002992,0.002992,0.1145,0
4.5382e+14,1,0.002996,0.002996,0.1145,0
4.5416e+14,1,0.003,0.003,0.1145,0
4.545e+14,1,0.003004,0.003004,0.1145,0
4.5483e+14,1,0.003008,0.003008,0.1145,0
4.5517e+14,1,0.003012,0.003012,0.1145,0
4.5551e+14,1,0.003016,0.003016,0.1145,0
4.5585e+14,1,0.00302,0.00302,0.1145,0
4.5619e+14,1,0.003024,0.003024,0.1145,0
